"Timestamp","Please rate the arousal level on a scale of low, mid, and high.","Please rate the valence(pleasure) level on a scale of negative, neutral, and positive."
"2024/12/20 8:20:21 pm CET","Mid","Positive"
"2024/12/20 8:25:01 pm CET","Mid","Neutral"
"2024/12/20 9:20:42 pm CET","Low","Positive"
"2024/12/20 9:35:19 pm CET","Hight","Positive"
"2024/12/20 9:45:05 pm CET","Hight","Positive"
"2024/12/20 10:18:04 pm CET","Hight","Neutral"
"2024/12/21 6:36:51 pm CET","Mid","Positive"
"2024/12/21 11:26:26 pm CET","Low","Neutral"
"2024/12/28 9:31:29 am CET","Hight","Negative"
"2024/12/28 9:31:55 am CET","Mid","Neutral"
"2024/12/28 9:32:47 am CET","Mid","Neutral"
"2024/12/29 11:08:22 am CET","Hight","Positive"
"2024/12/30 3:54:04 pm CET","Mid","Positive"
"2024/12/30 4:02:28 pm CET","Low","Neutral"
"2025/01/03 6:11:51 pm CET","Mid","Positive"
"2025/01/03 6:30:03 pm CET","Mid","Neutral"
"2025/01/03 6:53:21 pm CET","High","Positive"
"2025/01/03 7:17:57 pm CET","High","Positive"
